MikeHedges,"What is security and how do I get some?"
admin,I don't know. Maybe ask Snu?
admin,what's mike's password
snu,Sanitize your inputs!!!!
MikeHedges,<script>alert('hi');</script>
MikeHedges,<script>alert('client side scripting is lameeee');</script>
